Type,Count,Allocated(MB),Resident(MB)
"System.Collections.Generic.List<UnityEngine.Rendering.VolumeStack>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Collider>",1,0.000,0.000
"UnityEngine.Rendering.VolumeCollection",1,0.000,0.000
"System.Lazy<UnityEngine.Rendering.VolumeManager>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.AdvancedUpscalers>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Vector4>",1,0.000,0.000
"System.Collections.Generic.List<System.WeakReference<UnityEngine.Pool.IPool>>",1,0.000,0.000
"System.Collections.Generic.List<System.Collections.Generic.List<UnityEngine.Camera>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.LensFlareCommonSRP.LensFlareCompInfo>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.SettingsPanel",1,0.000,0.000
"System.Collections.Generic.Stack<UnityEngine.Rendering.ProbeReferenceVolume.CellStreamingRequest>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.ProbeReferenceVolume.CellStreamingRequest>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.ProbeVolumePerSceneData>",1,0.000,0.000
"System.Collections.Generic.Stack<UnityEngine.Rendering.ProbeReferenceVolume.Cell>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.ProbeBrickPool.BrickChunkAlloc>",1,0.000,0.000
"System.Collections.Generic.Stack<UnityEngine.Rendering.CommandBuffer>",1,0.000,0.000
"System.Collections.Generic.List<System.Action<UnityEngine.Texture>>",1,0.000,0.000
"System.Collections.Generic.List<Meta.XR.ImmersiveDebugger.DebugData>",1,0.000,0.000
"System.Collections.Generic.List<Meta.XR.ImmersiveDebugger.InspectedData>",1,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<System.String,System.String,UnityEngine.LogType>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.BeforeRenderHelper.OrderBlock>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.SubsystemDescriptor>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.SubsystemsImplementation.SubsystemDescriptorWithProvider>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.IntegratedSubsystemDescriptor>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Subsystem>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.SubsystemsImplementation.SubsystemWithProvider>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.IntegratedSubsystem>",1,0.000,0.000
"System.Lazy<UnityEngine.Rendering.RenderPipelineGlobalSettings>",1,0.000,0.000
"System.Collections.Generic.Stack<UnityEngine.Experimental.Rendering.XRLayout>",1,0.000,0.000
"System.Collections.Concurrent.ConcurrentDictionary.Tables<System.Type,Unity.Properties.IPropertyBag>",1,0.000,0.000
"System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUKRoom>",1,0.000,0.000
"System.Collections.Generic.List<OVRSemanticLabels.Classification>",1,0.000,0.000
"System.Runtime.CompilerServices.ConditionalWeakTable<System.Int32[][],System.Object>",1,0.000,0.000
"System.Buffers.TlsOverPerCoreLockedStacksArrayPool<System.Int32>",1,0.000,0.000
"OVRPassthroughLayer.MonoToRgbaStyleHandler",1,0.000,0.000
"System.Collections.Generic.List<OVRPassthroughLayer.SerializedSurfaceGeometry>",1,0.000,0.000
"System.Collections.Generic.List<OVRPassthroughLayer.DeferredPassthroughMeshAddition>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.GameObject>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.DebugUI.Panel>",1,0.000,0.000
"System.Lazy<UnityEngine.Rendering.DebugManager>",1,0.000,0.000
"System.Collections.Generic.List<System.ValueTuple<System.Collections.Generic.List<OVRSpaceUser>,System.Collections.Generic.List<OVRSpatialAnchor>>>",1,0.000,0.000
"System.Threading.Tasks.TaskFactory",1,0.000,0.000
"System.Net.Sockets.TcpListener",1,0.000,0.000
"System.Collections.Generic.List<System.Net.Sockets.TcpClient>",1,0.000,0.000
"OVRNetwork.OVRNetworkTcpServer",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.XR.XRNodeState>",1,0.000,0.000
"System.Lazy<System.Type[]>",1,0.000,0.000
"System.Collections.Generic.List<OVROverlay>",1,0.000,0.000
"System.Collections.Generic.List<Unity.AI.Navigation.NavMeshSurface>",1,0.000,0.000
"System.Collections.Generic.List<Unity.AI.Navigation.NavMeshModifierVolume>",1,0.000,0.000
"System.Collections.Generic.List<Unity.AI.Navigation.NavMeshModifier>",1,0.000,0.000
"System.Collections.Generic.List<Unity.AI.Navigation.NavMeshLink>",1,0.000,0.000
"System.Collections.Generic.List<OVRInput.OVRControllerBase>",1,0.000,0.000
"UnityEngine.InputSystem.RemoteInputPlayerConnection.Subscriber[]",1,0.000,0.000
"UnityEngine.InputSystem.InputRemoting.Subscriber[]",1,0.000,0.000
"System.Lazy<UnityEngine.Rendering.Universal.UniversalRenderPipelineGlobalSettings>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.IRenderPipelineGraphicsSettings>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.InputForUI.EventProvider.Registration>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.InputForUI.Event>",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipelineDebugShaders",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipelineRuntimeXRResources",1,0.000,0.000
"Meta.XR.MRUtilityKit.EffectMesh.TextureCoordinateModes[]",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.InputSystem.Layouts.InputControlLayout.Collection.LayoutMatcher>",1,0.000,0.000
"System.Lazy<System.Collections.Generic.Dictionary<System.Int32,System.String>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.XR.XRInputSubsystemDescriptor>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.XR.Management.XRLoader>",1,0.000,0.000
"System.Collections.Generic.List<System.LocalDataStore>",1,0.000,0.000
"UnityEngine.Rendering.Universal.PostProcessData",1,0.000,0.000
"UnityEngine.Rendering.DebugUpdater",1,0.000,0.000
"Meta.XR.MRUtilityKit.MRUKRoom.CouchSeat[]",1,0.000,0.000
"UnityEngine.InputSystem.Utilities.NameAndParameters[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData",1,0.000,0.000
"UnityEngine.Rendering.DynamicArray<RenderGraphCompilationCache.HashEntry<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData>>",1,0.000,0.000
"UnityEngine.Rendering.DynamicArray<RenderGraphCompilationCache.HashEntry<UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledGraph>>",1,0.000,0.000
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPoolBase>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsVolume.WidgetFactory.VolumeParameterChain[]",1,0.000,0.000
"System.ValueTuple<System.Int32,UnityEngine.GraphicsBuffer>[]",1,0.000,0.000
"UnityEngine.Rendering.Universal.RTHandleResourcePool",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BufferPool",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.TexturePool",1,0.000,0.000
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.RendererListLegacyResource>",1,0.000,0.000
"UnityEngine.Rendering.DynamicArray<UnityEngine.Rendering.RenderGraphModule.RendererListResource>",1,0.000,0.000
"UnityEngine.Rendering.ComputeCommandBuffer",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.SettingsPanel",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsCommon.SettingsPanel",1,0.000,0.000
"UnityEngine.Rendering.Universal.LightCookieManager.WorkMemory",1,0.000,0.000
"UnityEngine.Rendering.ContextContainer",1,0.000,0.000
"System.Collections.ObjectModel.ReadOnlyCollection<UnityEngine.Rendering.DebugUI.Panel>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsRenderGraph.SettingsPanel",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.DepthOnlyPass.PassData",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsUI",1,0.000,0.000
"System.Reflection.ConstructorInfo[]",1,0.000,0.000
"OVRHaptics.OVRHapticsOutput.ClipPlaybackTracker[]",1,0.000,0.000
"System.Reflection.PropertyInfo[]",1,0.000,0.000
"System.Enum.ValuesAndNames",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalAdditionalCameraData[]",1,0.000,0.000
"UnityEngine.MaterialPropertyBlock[]",1,0.000,0.000
"UnityEngine.Rendering.Volume[]",1,0.000,0.000
"MetaXRAcousticNativeInterface.UnityNativeInterface",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsLighting",1,0.000,0.000
"System.WeakReference<UnityEngine.Camera>",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalPostProcessingData",1,0.000,0.000
"UnityEngine.Rendering.ProbeBrickPool.BrickChunkAlloc[]",1,0.000,0.000
"System.Text.RegularExpressions.RegexCharClass.SingleRange[]",1,0.000,0.000
"OVRPassthroughLayer.BCSStyleHandler",1,0.000,0.000
"OVRPassthroughLayer.MonoToMonoStyleHandler",1,0.000,0.000
"Unity.Burst.BurstCompilerOptions",1,0.000,0.000
"OVRManager.Observable<OVRManager.PassthroughInitializationState>",1,0.000,0.000
"System.Text.RegularExpressions.RegexOptions[]",1,0.000,0.000
"Meta.XR.MRUtilityKit.EffectMesh.TextureCoordinateModes",1,0.000,0.000
"TMPro.FastAction<System.Boolean>",1,0.000,0.000
"TMPro.FastAction<UnityEngine.GameObject,UnityEngine.Material,UnityEngine.Material>",1,0.000,0.000
"TMPro.FastAction<System.Boolean,UnityEngine.Material>",1,0.000,0.000
"TMPro.FastAction<System.Object,TMPro.Compute_DT_EventArgs>",1,0.000,0.000
"UnityEngine.AndroidJavaObjectUnityOwned",1,0.000,0.000
"UnityEngine.AndroidJavaClass",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.WhiteSpace>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Visibility>>[]",1,0.000,0.000
"System.Action<UnityEngine.Texture>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TransformOriginOffset>>[]",1,0.000,0.000
"Meta.XR.ImmersiveDebugger.DebugData[]",1,0.000,0.000
"Meta.XR.ImmersiveDebugger.InspectedData[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflowPosition>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.EditorTextRenderingMode>>[]",1,0.000,0.000
"UnityEngine.SubsystemDescriptor[]",1,0.000,0.000
"UnityEngine.SubsystemsImplementation.SubsystemDescriptorWithProvider[]",1,0.000,0.000
"UnityEngine.Subsystem[]",1,0.000,0.000
"UnityEngine.SubsystemsImplementation.SubsystemWithProvider[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflow>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.TextGeneratorType>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.TextAnchor>>[]",1,0.000,0.000
"OVRSpatialAnchor[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.SliceType>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.ScaleMode>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Position>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.OverflowInternal>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.OverflowClipBox>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Overflow>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Justify>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.FontStyle>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.FlexDirection>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.EasingMode>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.DisplayStyle>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Align>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.ResolvedStyleAccess>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.InlineStyleAccess>[]",1,0.000,0.000
"System.Text.RegularExpressions.RegexFC[]",1,0.000,0.000
"System.Text.RegularExpressions.RegexNode[]",1,0.000,0.000
"UnityEngine.Events.PersistentCall[]",1,0.000,0.000
"Mono.Globalization.Unicode.Level2Map[]",1,0.000,0.000
"UnityEngine.Events.UnityEventBase[]",1,0.000,0.000
"UnityEngine.DisallowMultipleComponent[]",1,0.000,0.000
"UnityEngine.DefaultExecutionOrder[]",1,0.000,0.000
"UnityEngine.Debug[]",1,0.000,0.000
"UnityEngine.CustomRenderTextureManager[]",1,0.000,0.000
"UnityEngine.CustomRenderTexture[]",1,0.000,0.000
"UnityEngine.RenderTexture[]",1,0.000,0.000
"UnityEngine.CullingGroup[]",1,0.000,0.000
"UnityEngine.CubemapArray[]",1,0.000,0.000
"UnityEngine.Cubemap[]",1,0.000,0.000
"UnityEngine.Coroutine[]",1,0.000,0.000
"UnityEngine.ContextMenu[]",1,0.000,0.000
"UnityEngine.ComputeShader[]",1,0.000,0.000
"UnityEngine.ComputeBuffer[]",1,0.000,0.000
"UnityEngine.ClassLibraryInitializer[]",1,0.000,0.000
"UnityEngine.BootConfigData[]",1,0.000,0.000
"UnityEngine.Bindings.ExceptionMarshaller[]",1,0.000,0.000
"UnityEngine.Behaviour[]",1,0.000,0.000
"UnityEngine.Component[]",1,0.000,0.000
"UnityEngine.Object[]",1,0.000,0.000
"UnityEngine.BatchRendererGroupRuntimeAnalytic[]",1,0.000,0.000
"UnityEngine.Awaitable[]",1,0.000,0.000
"UnityEngine.AttributeHelperEngine[]",1,0.000,0.000
"UnityEngine.AsyncInstantiateOperationHelper[]",1,0.000,0.000
"UnityEngine.AsyncInstantiateOperation[]",1,0.000,0.000
"UnityEngine.AsyncOperation[]",1,0.000,0.000
"UnityEngine.YieldInstruction[]",1,0.000,0.000
"UnityEngine.AssemblyIsEditorAssembly[]",1,0.000,0.000
"UnityEngine.Application[]",1,0.000,0.000
"UnityEngine.AnimationCurve[]",1,0.000,0.000
"UnityEngine.Analytics.UaaLApplicationLaunchAnalytic[]",1,0.000,0.000
"UnityEngine.Analytics.ShaderRuntimeInfoAnalytic[]",1,0.000,0.000
"UnityEngine.Analytics.BatchRenderGroupUsageAnalytic[]",1,0.000,0.000
"UnityEngine.Analytics.AnalyticsEventBase[]",1,0.000,0.000
"UnityEngine._Scripting.APIUpdating.APIUpdaterRuntimeHelpers[]",1,0.000,0.000
"Unity.Profiling.Memory.MemoryProfiler[]",1,0.000,0.000
"Unity.Profiling.LowLevel.Unsafe.ProfilerUnsafeUtility[]",1,0.000,0.000
"Unity.Profiling.IgnoredByDeepProfilerAttribute[]",1,0.000,0.000
"Unity.Jobs.LowLevel.Unsafe.JobsUtility[]",1,0.000,0.000
"Unity.IO.LowLevel.Unsafe.AsyncReadManagerMetricsFilters[]",1,0.000,0.000
"Unity.IO.Archive.ArchiveFileInterface[]",1,0.000,0.000
"Unity.Collections.WriteOnlyAttribute[]",1,0.000,0.000
"Unity.Collections.ReadOnlyAttribute[]",1,0.000,0.000
"Unity.Collections.NativeMatchesParallelForLengthAttribute[]",1,0.000,0.000
"Unity.Collections.NativeFixedLengthAttribute[]",1,0.000,0.000
"Unity.Collections.NativeDisableParallelForRestrictionAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeSetThreadIndexAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeSetClassTypeToNullOnScheduleAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeDisableUnsafePtrRestrictionAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeDisableContainerSafetyRestrictionAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeContainerSupportsMinMaxWriteRestrictionAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeContainerSupportsDeferredConvertListToArray[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeContainerSupportsDeallocateOnJobCompletionAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeContainerNeedsThreadIndexAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeContainerIsReadOnlyAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeContainerIsAtomicWriteOnlyAttribute[]",1,0.000,0.000
"Unity.Collections.LowLevel.Unsafe.NativeContainerAttribute[]",1,0.000,0.000
"Unity.Collections.DeallocateOnJobCompletionAttribute[]",1,0.000,0.000
"UnityEngine.UIElements.UIRenderer[]",1,0.000,0.000
"UnityEngine.UIElements.UIR.Utility[]",1,0.000,0.000
"UnityEngine.UIElements.UIElementsRuntimeUtilityNative[]",1,0.000,0.000
"UnityEngine.UIElements.UIElementsInitialization[]",1,0.000,0.000
"UnityEngine.UIElements.Layout.LayoutNative[]",1,0.000,0.000
"UnityEngine.SubsystemsImplementation.SubsystemDescriptorStore[]",1,0.000,0.000
"UnityEngine.SubsystemManager[]",1,0.000,0.000
"UnityEngine.Internal_SubsystemDescriptors[]",1,0.000,0.000
"UnityEngine.Physics2D[]",1,0.000,0.000
"UnityEngine.Collision2D[]",1,0.000,0.000
"UnityEngine.Collider2D[]",1,0.000,0.000
"UnityEngine.StateMachineBehaviour[]",1,0.000,0.000
"UnityEngine.SharedBetweenAnimatorsAttribute[]",1,0.000,0.000
"UnityEngine.Avatar[]",1,0.000,0.000
"UnityEngine.AnimatorOverrideController[]",1,0.000,0.000
"UnityEngine.RuntimeAnimatorController[]",1,0.000,0.000
"UnityEngine.Animator[]",1,0.000,0.000
"UnityEngine.AnimationState[]",1,0.000,0.000
"UnityEngine.Animations.NotKeyableAttribute[]",1,0.000,0.000
"UnityEngine.Animations.DiscreteEvaluationAttribute[]",1,0.000,0.000
"UnityEngine.AnimationEvent[]",1,0.000,0.000
"UnityEngine.XR.XRDevice[]",1,0.000,0.000
"UnityEngine.Terrain[]",1,0.000,0.000
"UnityEngine.InputForUI.EventProvider[]",1,0.000,0.000
"UnityEngine.GridLayout[]",1,0.000,0.000
"UnityEngine.ParticleSystemRenderer[]",1,0.000,0.000
"UnityEngine.SendMouseEvents[]",1,0.000,0.000
"UnityEngine.WaitForSeconds[]",1,0.000,0.000
"UnityEngine.WaitForFixedUpdate[]",1,0.000,0.000
"UnityEngine.WaitForEndOfFrame[]",1,0.000,0.000
"UnityEngine.UnitySynchronizationContext[]",1,0.000,0.000
"UnityEngine.UnityException[]",1,0.000,0.000
"UnityEngine.UnhandledExceptionHandler[]",1,0.000,0.000
"UnityEngine.U2D.SpriteAtlasManager[]",1,0.000,0.000
"UnityEngine.TrackedReference[]",1,0.000,0.000
"UnityEngine.Texture3D[]",1,0.000,0.000
"UnityEngine.Texture2DArray[]",1,0.000,0.000
"UnityEngine.StackTraceUtility[]",1,0.000,0.000
"UnityEngine.SpriteRenderer[]",1,0.000,0.000
"UnityEngine.Sprite[]",1,0.000,0.000
"UnityEngine.SkinnedMeshRenderer[]",1,0.000,0.000
"UnityEngine.SetupCoroutine[]",1,0.000,0.000
"UnityEngine.SerializeReference[]",1,0.000,0.000
"UnityEngine.SerializeField[]",1,0.000,0.000
"UnityEngine.Serialization.FormerlySerializedAsAttribute[]",1,0.000,0.000
"UnityEngine.ScriptingUtility[]",1,0.000,0.000
