NameOfObject,Type,Allocated(MB),Resident(MB)
"RuntimeElement","MonoScript",0.000,0.000
"TryCatch","MonoScript",0.000,0.000
"ScalarMultiply","MonoScript",0.000,0.000
"HandConfidenceVisual","MonoScript",0.000,0.000
"SetMember","MonoScript",0.000,0.000
"InputUserAccountHandle","MonoScript",0.000,0.000
"SceneVariables","MonoScript",0.000,0.000
"OnCollisionStay","MonoScript",0.000,0.000
"ControlPortDefinition","MonoScript",0.000,0.000
"ISpeechEvents","MonoScript",0.000,0.000
"VariableKindAttribute","MonoScript",0.000,0.000
"Party","MonoScript",0.000,0.000
"ActiveStateToggle","MonoScript",0.000,0.000
"PointerEventData","MonoScript",0.000,0.000
"TagSetFilter","MonoScript",0.000,0.000
"FeedbackManager","MonoScript",0.000,0.000
"ICapabilityModifier","MonoScript",0.000,0.000
"bool3.gen","MonoScript",0.000,0.000
"AnimationPreviewUpdateCallback","MonoScript",0.000,0.000
"UnityOnMouseDownMessageListener","MonoScript",0.000,0.000
"OVRDynamicObject","MonoScript",0.000,0.000
"CandidatePositionComparer","MonoScript",0.000,0.000
"UnityOnMouseDragMessageListener","MonoScript",0.000,0.000
"ISerializationDependency","MonoScript",0.000,0.000
"LogEntry","MonoScript",0.000,0.000
"PlusHandler","MonoScript",0.000,0.000
"OnTriggerStay","MonoScript",0.000,0.000
"IJobParallelForBatch","MonoScript",0.000,0.000
"OVRMeshRenderer","MonoScript",0.000,0.000
"Vector2Container","MonoScript",0.000,0.000
"JsonConvert","MonoScript",0.000,0.000
"SingletonAttribute","MonoScript",0.000,0.000
"GrabbingRule","MonoScript",0.000,0.000
"RiffHeaderFrame","MonoScript",0.000,0.000
"IHandGrabUseDelegate","MonoScript",0.000,0.000
"UserDataStoreUpdateResponse","MonoScript",0.000,0.000
"EditorPlayerSettingHelpers","MonoScript",0.000,0.000
"BurstString","MonoScript",0.000,0.000
"UseFingerRawPinchAPI","MonoScript",0.000,0.000
"Vector4MoveTowards","MonoScript",0.000,0.000
"AndroidPlatform","MonoScript",0.000,0.000
"SafeStringArrayHelper","MonoScript",0.000,0.000
"InspectorWideAttribute","MonoScript",0.000,0.000
"RightShiftHandler","MonoScript",0.000,0.000
"ILogScope","MonoScript",0.000,0.000
"JointDeltaProviderRef","MonoScript",0.000,0.000
"TMP_FontAsset","MonoScript",0.000,0.000
"EnvironmentDepthManager","MonoScript",0.000,0.000
"BaseMeshEffect","MonoScript",0.000,0.000
"MpegStreamReader","MonoScript",0.000,0.000
"EditorInputControlLayoutCache","MonoScript",0.000,0.000
"ActionsTreeView","MonoScript",0.000,0.000
"RemoveListItem","MonoScript",0.000,0.000
"InputActionTreeView","MonoScript",0.000,0.000
"AnyState","MonoScript",0.000,0.000
"RuntimeClipBase","MonoScript",0.000,0.000
"float2x4.gen","MonoScript",0.000,0.000
"EnsureThat.Objects","MonoScript",0.000,0.000
"OcclusionBuildingBlock","MonoScript",0.000,0.000
"RuntimeClip","MonoScript",0.000,0.000
"OnInputFieldValueChanged","MonoScript",0.000,0.000
"IGraphEventListener","MonoScript",0.000,0.000
"LivestreamingApplicationStatus","MonoScript",0.000,0.000
"Vector2Subtract","MonoScript",0.000,0.000
"MicDebug","MonoScript",0.000,0.000
"OVRLayerAttribute","MonoScript",0.000,0.000
"WitVRequest","MonoScript",0.000,0.000
"MetadataInjector","MonoScript",0.000,0.000
"LessOrEqual","MonoScript",0.000,0.000
"WebGLJoystick","MonoScript",0.000,0.000
"MetaXRAudioVersion","MonoScript",0.000,0.000
"EventHook","MonoScript",0.000,0.000
"IncludeInSettingsAttribute","MonoScript",0.000,0.000
"IButton","MonoScript",0.000,0.000
"InputBindingComposite","MonoScript",0.000,0.000
"LaunchUnblockFlowResult","MonoScript",0.000,0.000
"NavMeshLink","MonoScript",0.000,0.000
"ActiveStateFingerVisual","MonoScript",0.000,0.000
"SetStateGraph","MonoScript",0.000,0.000
"float3.gen","MonoScript",0.000,0.000
"Namespace","MonoScript",0.000,0.000
"OnDeselect","MonoScript",0.000,0.000
"This","MonoScript",0.000,0.000
"IUnitPort","MonoScript",0.000,0.000
"int3x2.gen","MonoScript",0.000,0.000
"TMP_MaterialManager","MonoScript",0.000,0.000
"MetaXRAcousticMaterial","MonoScript",0.000,0.000
"FlowGraphData","MonoScript",0.000,0.000
"EditorHelpers","MonoScript",0.000,0.000
"EnsureThat.Reflection","MonoScript",0.000,0.000
"IUnitInvalidPort","MonoScript",0.000,0.000
"ControllerSelector","MonoScript",0.000,0.000
"IMovement","MonoScript",0.000,0.000
"HandMirroring","MonoScript",0.000,0.000
"PoseMeasureParameters","MonoScript",0.000,0.000
"cellular3D","MonoScript",0.000,0.000
"ReservedPaths","MonoScript",0.000,0.000
"OnAnimatorIK","MonoScript",0.000,0.000
"IAudioPlayerProvider","MonoScript",0.000,0.000
"OVRSceneVolume","MonoScript",0.000,0.000
"TrackColorAttribute","MonoScript",0.000,0.000
"FlagsPropertyAttribute","MonoScript",0.000,0.000
"TouchHandGrabInteractor","MonoScript",0.000,0.000
"LooseAssemblyNameConverter","MonoScript",0.000,0.000
"InputDeviceMatcher","MonoScript",0.000,0.000
"IGizmoDrawer","MonoScript",0.000,0.000
"GetListItem","MonoScript",0.000,0.000
"Break","MonoScript",0.000,0.000
"TwoGrabRotateTransformer","MonoScript",0.000,0.000
"ProfilerMarkerExtensions","MonoScript",0.000,0.000
"OVRStorable","MonoScript",0.000,0.000
"UIntFloat","MonoScript",0.000,0.000
"ReflectionPropertyAccessor","MonoScript",0.000,0.000
"GroupPresenceOptions","MonoScript",0.000,0.000
"ConsoleLogsCache","MonoScript",0.000,0.000
"TMP_TextParsingUtilities","MonoScript",0.000,0.000
"HelpUrls","MonoScript",0.000,0.000
"uint2x4.gen","MonoScript",0.000,0.000
"NumericNegationHandler","MonoScript",0.000,0.000
"VoiceErrorSimulator","MonoScript",0.000,0.000
"RichPresenceOptions","MonoScript",0.000,0.000
"OVRModeParms","MonoScript",0.000,0.000
"ClipUpgrade","MonoScript",0.000,0.000
"FastMouse","MonoScript",0.000,0.000
"MenuWristButton","MonoScript",0.000,0.000
"WindowsPlatform","MonoScript",0.000,0.000
"FeedbackSettings","MonoScript",0.000,0.000
"VoiceLipSyncMic","MonoScript",0.000,0.000
"GraphicRegistry","MonoScript",0.000,0.000
"Vector3Normalize","MonoScript",0.000,0.000
"StencilMaterial","MonoScript",0.000,0.000
"BaseComposerSession","MonoScript",0.000,0.000
"VirtualActiveState","MonoScript",0.000,0.000
"VoiceServiceRequest","MonoScript",0.000,0.000
"IDualMotorRumble","MonoScript",0.000,0.000
"GridSpacingScaler","MonoScript",0.000,0.000
"TMP_UpdateManager","MonoScript",0.000,0.000
"WitConstants","MonoScript",0.000,0.000
"CollectionHelper","MonoScript",0.000,0.000
"AssemblyInfo","MonoScript",0.000,0.000
"noise3Dgrad","MonoScript",0.000,0.000
"ActiveStateNot","MonoScript",0.000,0.000
"IAxis2D","MonoScript",0.000,0.000
"Mic","MonoScript",0.000,0.000
"int3x4.gen","MonoScript",0.000,0.000
"Clipping","MonoScript",0.000,0.000
"Slider","MonoScript",0.000,0.000
"Serialization","MonoScript",0.000,0.000
"IConduitDispatcher","MonoScript",0.000,0.000
"ObjectTypeAttribute","MonoScript",0.000,0.000
"OVRCustomSkeleton","MonoScript",0.000,0.000
"double4x3.gen","MonoScript",0.000,0.000
"TelemetryEvents","MonoScript",0.000,0.000
"HandGrabResult","MonoScript",0.000,0.000
"FixedStringFormat.gen","MonoScript",0.000,0.000
"ControlSchemesView","MonoScript",0.000,0.000
"OnCancel","MonoScript",0.000,0.000
"IPropertyCollector","MonoScript",0.000,0.000
"ISnapPoseDelegate","MonoScript",0.000,0.000
"VariableDeclarationsCloner","MonoScript",0.000,0.000
"AudioDecoderJson","MonoScript",0.000,0.000
"ClipCaps","MonoScript",0.000,0.000
"NativeParallelHashSetExtensions.gen","MonoScript",0.000,0.000
"ReferenceCollector","MonoScript",0.000,0.000
"BitReservoir","MonoScript",0.000,0.000
"BurstReflection","MonoScript",0.000,0.000
"MemberInfoExtensions","MonoScript",0.000,0.000
"PolylineGizmos","MonoScript",0.000,0.000
"ISkeletonMapping","MonoScript",0.000,0.000
"TimelineClip","MonoScript",0.000,0.000
"xxHash3.StreamingState","MonoScript",0.000,0.000
"DictionaryAsset","MonoScript",0.000,0.000
"GetVariableUnit","MonoScript",0.000,0.000
"TMP_CoroutineTween","MonoScript",0.000,0.000
"StaticInvokerBase","MonoScript",0.000,0.000
"ConduitValueAttribute","MonoScript",0.000,0.000
"InputAssetEditorUtils","MonoScript",0.000,0.000
"VisemeBlendShapeLipSync","MonoScript",0.000,0.000
"NativeStream","MonoScript",0.000,0.000
"OnEnterState","MonoScript",0.000,0.000
"ReflectionUtils","MonoScript",0.000,0.000
"AppBuiltIns","MonoScript",0.000,0.000
"OVRPointerEventData","MonoScript",0.000,0.000
"Gamepad","MonoScript",0.000,0.000
"IPlatformVoiceService","MonoScript",0.000,0.000
"bool4.gen","MonoScript",0.000,0.000
"EmptyEventArgs","MonoScript",0.000,0.000
"OVRRecord","MonoScript",0.000,0.000
"ConduitActionAttribute","MonoScript",0.000,0.000
"OVRRayHelper","MonoScript",0.000,0.000
"SystemVoipState","MonoScript",0.000,0.000
"UIEditorSetup","MonoScript",0.000,0.000
"TMP_SpriteAnimator","MonoScript",0.000,0.000
"DistanceHandGrabInteractor","MonoScript",0.000,0.000
"iOSSupport","MonoScript",0.000,0.000
"MergeLists","MonoScript",0.000,0.000
"WitRequestSettings","MonoScript",0.000,0.000
"SetApplicationVariable","MonoScript",0.000,0.000
"InputAxis","MonoScript",0.000,0.000
"MRUKRoom","MonoScript",0.000,0.000
"IFingerAPI","MonoScript",0.000,0.000
"TriggerCustomEvent","MonoScript",0.000,0.000
"Member","MonoScript",0.000,0.000
"PlayerInput","MonoScript",0.000,0.000
"int4x3.gen","MonoScript",0.000,0.000
"PlayerInputManagerEditor","MonoScript",0.000,0.000
"ExecuteEvents","MonoScript",0.000,0.000
"HandGrabPose","MonoScript",0.000,0.000
"PlayerInputManager","MonoScript",0.000,0.000
"XRLoader","MonoScript",0.000,0.000
"Navigation","MonoScript",0.000,0.000
"IOUtility","MonoScript",0.000,0.000
"PropertyAttributes","MonoScript",0.000,0.000
"OVRPlugin","MonoScript",0.000,0.000
"StringUtility","MonoScript",0.000,0.000
"IMaskable","MonoScript",0.000,0.000
"WitEndpointConfig","MonoScript",0.000,0.000
"ClearDictionary","MonoScript",0.000,0.000
"PointableDebugVisual","MonoScript",0.000,0.000
"SelectorDebugVisual","MonoScript",0.000,0.000
"OnTriggerEnter","MonoScript",0.000,0.000
"AdvancedDropdownGUI","MonoScript",0.000,0.000
"TreeViewHelpers","MonoScript",0.000,0.000
"Commands","MonoScript",0.000,0.000
"MetaXRAcousticMaterialMapping","MonoScript",0.000,0.000
"TranscriptionRequestEvents","MonoScript",0.000,0.000
"RenamedFromAttribute","MonoScript",0.000,0.000
"MemberInfoComparer","MonoScript",0.000,0.000
"ProfilingScope","MonoScript",0.000,0.000
"LaunchInvitePanelFlowResult","MonoScript",0.000,0.000
"UnityMessageListener","MonoScript",0.000,0.000
"IHandGrabInteractor","MonoScript",0.000,0.000
"Text","MonoScript",0.000,0.000
"Vector2Normalize","MonoScript",0.000,0.000
"OVRAnchor","MonoScript",0.000,0.000
"PointableElement","MonoScript",0.000,0.000
"MultipleDisplayUtilities","MonoScript",0.000,0.000
"TMP_FontFeatureTable","MonoScript",0.000,0.000
"OnGUI","MonoScript",0.000,0.000
"HmdDataSourceConfig","MonoScript",0.000,0.000
"GamepadButtonPropertyDrawer","MonoScript",0.000,0.000
"InspectorExpandTooltipAttribute","MonoScript",0.000,0.000
"LookAtTarget","MonoScript",0.000,0.000
"DataSource","MonoScript",0.000,0.000
"InteractorDebugVisual","MonoScript",0.000,0.000
"OVRTask.gen","MonoScript",0.000,0.000
"DeprecatedScalarAdd","MonoScript",0.000,0.000
"AudioBufferConfiguration","MonoScript",0.000,0.000
"TTSVoiceSettings","MonoScript",0.000,0.000
"OVRMixedReality","MonoScript",0.000,0.000
"OnDestroyNotifier","MonoScript",0.000,0.000
"IAudioClipStream","MonoScript",0.000,0.000
"IUnitValuePort","MonoScript",0.000,0.000
"DebugUtility","MonoScript",0.000,0.000
"InputSystemObject","MonoScript",0.000,0.000
"OVRMesh","MonoScript",0.000,0.000
"AudioPhysics","MonoScript",0.000,0.000
"SyntheticHand","MonoScript",0.000,0.000
"double2x3.gen","MonoScript",0.000,0.000
"FloatDatum","MonoScript",0.000,0.000
"WitVoiceInfo","MonoScript",0.000,0.000
"IMouseEventUnit","MonoScript",0.000,0.000
"uint2x3.gen","MonoScript",0.000,0.000
"TMP_SpriteGlyph","MonoScript",0.000,0.000
"UnitConnectionDebugData","MonoScript",0.000,0.000
"CollectionExtensions","MonoScript",0.000,0.000
"BuildingBlock","MonoScript",0.000,0.000
"SkipLocalsInitAttribute","MonoScript",0.000,0.000
"Common","MonoScript",0.000,0.000
"SlideLocomotionBroadcaster","MonoScript",0.000,0.000
"WitSampleEvent","MonoScript",0.000,0.000
"WitConfigurationCache","MonoScript",0.000,0.000
"VoiceServiceRequestEvent","MonoScript",0.000,0.000
"WitSettings","MonoScript",0.000,0.000
"Vector2Absolute","MonoScript",0.000,0.000
"FadeTextAfterActive","MonoScript",0.000,0.000
"HandTransformScaler","MonoScript",0.000,0.000
"TTSWordEvent","MonoScript",0.000,0.000
"TrackedPoseDriver","MonoScript",0.000,0.000
"InputControlLayout","MonoScript",0.000,0.000
"GrabInteractable","MonoScript",0.000,0.000
"TTSEmoteEvent","MonoScript",0.000,0.000
"OnCollisionExit2D","MonoScript",0.000,0.000
"VerticalLayoutGroup","MonoScript",0.000,0.000
"TTSWebRequestEvents","MonoScript",0.000,0.000
"LayerIIDecoderBase","MonoScript",0.000,0.000
"UnityInfo","MonoScript",0.000,0.000
"SetScriptGraph","MonoScript",0.000,0.000
"EditorTimeBinding","MonoScript",0.000,0.000
"Axis2DActiveState","MonoScript",0.000,0.000
"WitResponseMatcher","MonoScript",0.000,0.000
"PointableDebugPolylineGizmos","MonoScript",0.000,0.000
"InputLatencyCalculator","MonoScript",0.000,0.000
"LayerIDecoder","MonoScript",0.000,0.000
"ScaleModifier","MonoScript",0.000,0.000
"SetObjectVariable","MonoScript",0.000,0.000
"HandTrackingConfidenceProvider","MonoScript",0.000,0.000
"InputActionAssetEditor","MonoScript",0.000,0.000
"ConeUtils","MonoScript",0.000,0.000
"PortLabelHiddenAttribute","MonoScript",0.000,0.000
"Aliasing","MonoScript",0.000,0.000
"IAotStubbable","MonoScript",0.000,0.000
"PartyUpdateNotification","MonoScript",0.000,0.000
"ClearList","MonoScript",0.000,0.000
"DateTimeUtility","MonoScript",0.000,0.000
"IAudioEventProvider","MonoScript",0.000,0.000
"AddListItem","MonoScript",0.000,0.000
"OVRMicrogesturesSample","MonoScript",0.000,0.000
"GameObjectSearchUtility","MonoScript",0.000,0.000
"PlayerInputEditorAnalytic","MonoScript",0.000,0.000
"ParameterProvider","MonoScript",0.000,0.000
"Huffman","MonoScript",0.000,0.000
"SkinnedRoundedBoxMesh","MonoScript",0.000,0.000
"StayInView","MonoScript",0.000,0.000
"Physics2DRaycaster","MonoScript",0.000,0.000
"RoundedBoxUIProperties","MonoScript",0.000,0.000
"EnsureThat.Collections","MonoScript",0.000,0.000
"OVRDebugHeadController","MonoScript",0.000,0.000
"ICandidateComparer","MonoScript",0.000,0.000
"IAnalyticsIdentifiable","MonoScript",0.000,0.000
"GameObjectUtils","MonoScript",0.000,0.000
"IGraphRoot","MonoScript",0.000,0.000
"Body","MonoScript",0.000,0.000
"VariablesSaver","MonoScript",0.000,0.000
"WitChunkConverter","MonoScript",0.000,0.000
"OVRPassthroughLayer","MonoScript",0.000,0.000
"Vector2DotProduct","MonoScript",0.000,0.000
"BoundsExtensions","MonoScript",0.000,0.000
"LudiqBehaviour","MonoScript",0.000,0.000
"Vector3Project","MonoScript",0.000,0.000
"MacroScriptableObject","MonoScript",0.000,0.000
"OnPointerClick","MonoScript",0.000,0.000
"InputActionPropertyDrawer","MonoScript",0.000,0.000
"PressureSquishable","MonoScript",0.000,0.000
"IMacro","MonoScript",0.000,0.000
"GUIHelpers","MonoScript",0.000,0.000
"TMP_ColorGradient","MonoScript",0.000,0.000
"PingPongPaddle","MonoScript",0.000,0.000
"OVRSkeletonRenderer","MonoScript",0.000,0.000
"HandGrabInteraction","MonoScript",0.000,0.000
"InterfaceAttribute","MonoScript",0.000,0.000
"ConicalFrustum","MonoScript",0.000,0.000
"Vector3Multiply","MonoScript",0.000,0.000
"Device","MonoScript",0.000,0.000
"TMP_TextElement","MonoScript",0.000,0.000
"ITimeControl","MonoScript",0.000,0.000
"OVRAnchor.Deferred","MonoScript",0.000,0.000
"OnSubmit","MonoScript",0.000,0.000
"iOSPostProcessBuild","MonoScript",0.000,0.000
"GrabPoseFinder","MonoScript",0.000,0.000
"float4x4.gen","MonoScript",0.000,0.000
"WitMicLevelChangedEvent","MonoScript",0.000,0.000
"StateGraphAsset","MonoScript",0.000,0.000
"DictionaryContainsKey","MonoScript",0.000,0.000
"LocomotionTurnerInteractor","MonoScript",0.000,0.000
"IVoiceRequestOptions","MonoScript",0.000,0.000
"PhysicsLayerSurface","MonoScript",0.000,0.000
"IAudioDecoder","MonoScript",0.000,0.000
"OVRAxis1D","MonoScript",0.000,0.000
"UnitPortDefinition","MonoScript",0.000,0.000
"VersionTextGUI","MonoScript",0.000,0.000
"ITelemetryWriter","MonoScript",0.000,0.000
"DictionaryExtensions","MonoScript",0.000,0.000
"OVRHeadsetEmulator","MonoScript",0.000,0.000
"ExceptionMessages","MonoScript",0.000,0.000
"UnityOnMouseExitMessageListener","MonoScript",0.000,0.000
"TMP_Text","MonoScript",0.000,0.000
"CustomTranscriptionProvider","MonoScript",0.000,0.000
"GizmoRenderer","MonoScript",0.000,0.000
"InputActionImporterEditor","MonoScript",0.000,0.000
"HiddenTextAttribute","MonoScript",0.000,0.000
"INotificationOptionProvider","MonoScript",0.000,0.000
"CylinderClipper","MonoScript",0.000,0.000
"WitEntityData","MonoScript",0.000,0.000
"VoiceServiceAudioEventReference","MonoScript",0.000,0.000
"ComponentUtils","MonoScript",0.000,0.000
"PointableDebugGizmos","MonoScript",0.000,0.000
"OVRScenePlaneMeshFilter","MonoScript",0.000,0.000
"OnPointerDown","MonoScript",0.000,0.000
"EnsureThat.Strings","MonoScript",0.000,0.000
"XRConfigurationData","MonoScript",0.000,0.000
"IUnityObjectOwnable","MonoScript",0.000,0.000
"InputParameterEditor","MonoScript",0.000,0.000
"TeleportInteractor","MonoScript",0.000,0.000
"UnityOnSubmitMessageListener","MonoScript",0.000,0.000
"UnitFooterPortsAttribute","MonoScript",0.000,0.000
"IInputControlPickerLayout","MonoScript",0.000,0.000
"StandaloneInputModule","MonoScript",0.000,0.000
"AudioPlayableAsset","MonoScript",0.000,0.000
"TMP_TextUtilities","MonoScript",0.000,0.000
"HIDSupport","MonoScript",0.000,0.000
"OVRSceneSampleController","MonoScript",0.000,0.000
"INavigationEventData","MonoScript",0.000,0.000
"Pen","MonoScript",0.000,0.000
"FFR","MonoScript",0.000,0.000
"BaseTTSRuntimeCache","MonoScript",0.000,0.000
"Button","MonoScript",0.000,0.000
"OVRBounded3D","MonoScript",0.000,0.000
"JointsRadiusFeature","MonoScript",0.000,0.000
"IGraphElementDebugData","MonoScript",0.000,0.000
"IGraphItem","MonoScript",0.000,0.000
"Fma","MonoScript",0.000,0.000
"int4x4.gen","MonoScript",0.000,0.000
"InteractionEventChannel","MonoScript",0.000,0.000
"LocomotionGateUnityEventWrapper","MonoScript",0.000,0.000
"cellular2x2x2","MonoScript",0.000,0.000
"ApplicationVariables","MonoScript",0.000,0.000
"IMarker","MonoScript",0.000,0.000
"OVRSceneObjectTransformType","MonoScript",0.000,0.000
"InputActionSet","MonoScript",0.000,0.000
"SectionAttribute","MonoScript",0.000,0.000
"openvr_api","MonoScript",0.000,0.000
"BodyRef","MonoScript",0.000,0.000
"TransformerUtils","MonoScript",0.000,0.000
"SelectUnit","MonoScript",0.000,0.000
"LocomotionTutorialTurnVisual","MonoScript",0.000,0.000
"IsPointWithinCollider","MonoScript",0.000,0.000
"InteractableGroupView","MonoScript",0.000,0.000
"GreaterThanOrEqualHandler","MonoScript",0.000,0.000
"LaunchFriendRequestFlowResult","MonoScript",0.000,0.000
"AudioClipAudioSource","MonoScript",0.000,0.000
"JointRotationHistoryHand","MonoScript",0.000,0.000
"DynamicEntityDataProvider","MonoScript",0.000,0.000
"MetaXRAcousticSceneGroup","MonoScript",0.000,0.000
"InputComponentEditorAnalytic","MonoScript",0.000,0.000
"ITranscriptionRequestOptions","MonoScript",0.000,0.000
"WitTTSVRequest","MonoScript",0.000,0.000
"AdvancedDropdown","MonoScript",0.000,0.000
"Vector2Divide","MonoScript",0.000,0.000
"TMP_TextInfo","MonoScript",0.000,0.000
"Controller","MonoScript",0.000,0.000
"ValidatePartialIntent","MonoScript",0.000,0.000
"TMP_Character","MonoScript",0.000,0.000
"BestSelectInteractorGroup","MonoScript",0.000,0.000
"GraphDebugData","MonoScript",0.000,0.000
"OculusDevelopment","MonoScript",0.000,0.000
"VoiceSession","MonoScript",0.000,0.000
"OVRScenePrefabOverride","MonoScript",0.000,0.000
"OVRButtonActiveState","MonoScript",0.000,0.000
"InvalidOperatorException","MonoScript",0.000,0.000
"EntitlementCheck","MonoScript",0.000,0.000
"WitServerRequestConfiguration","MonoScript",0.000,0.000
"AudioInputServiceReference","MonoScript",0.000,0.000
"PoseCaptureCountdown","MonoScript",0.000,0.000
